Datetime,Symbol_Pair,Low,High,Open,Close,Volume,Volume_USD
2022-06-26,USDT/USD,0.99927,0.99998,0.99931,0.99937,24900774.79,24885087.301882297
2022-06-25,USDT/USD,0.99911,1.00486,0.99926,0.9993,24143430.21,24126529.808853
2022-06-24,USDT/USD,0.99902,0.99957,0.99919,0.99929,33348405.28,33324727.9122512
2022-06-23,USDT/USD,0.99876,1.009,0.99888,0.99919,38597268.82,38566005.0322558
2022-06-22,USDT/USD,0.99866,0.99972,0.99901,0.99888,38649175.53,38605888.4534064
2022-06-21,USDT/USD,0.9987,0.99923,0.99874,0.99901,41126362.67,41085647.5709567
2022-06-20,USDT/USD,0.9986,0.99892,0.99873,0.99873,35478146.88,35433089.6334624
2022-06-19,USDT/USD,0.99831,0.999,0.99846,0.99873,32101874.24,32061104.8597152
2022-06-18,USDT/USD,0.9982,0.99884,0.99881,0.99846,55726576.41,55640757.482328594
2022-06-17,USDT/USD,0.9983,0.99884,0.99862,0.9988,42776884.23,42725551.968924
2022-06-16,USDT/USD,0.99836,0.999,0.99877,0.99862,58429534.15,58348901.392873
2022-06-15,USDT/USD,0.99301,0.999,0.99882,0.99878,97644143.0,97525017.14554
2022-06-14,USDT/USD,0.99699,0.999,0.9983,0.99881,92610318.42,92500112.1410802
2022-06-13,USDT/USD,0.99603,0.99961,0.99875,0.99831,123261226.57,123052915.0970967
2022-06-12,USDT/USD,0.99845,0.99889,0.99886,0.99875,45922992.01,45865588.2699875
2022-06-11,USDT/USD,0.99856,0.999,0.99892,0.99885,42770509.26,42721323.174351
2022-06-10,USDT/USD,0.99867,0.99947,0.99915,0.99894,48337918.56,48286680.36632641
2022-06-09,USDT/USD,0.9991,0.9993,0.99921,0.99915,37194393.73,37162778.4953295
2022-06-08,USDT/USD,0.99892,0.99961,0.99933,0.99921,40396557.45,40364644.1696145
2022-06-07,USDT/USD,0.99898,1.00307,0.99917,0.99932,56671662.31,56633125.579629205
2022-06-06,USDT/USD,0.99886,0.99932,0.99907,0.99916,39403075.35,39369976.766706005
2022-06-05,USDT/USD,0.99868,0.99946,0.99911,0.99906,20945122.44,20925434.0249064
2022-06-04,USDT/USD,0.9989,0.99926,0.99902,0.99911,24598092.91,24576200.6073101
2022-06-03,USDT/USD,0.99869,0.9993,0.9993,0.99903,36359460.25,36324191.573557496
2022-06-02,USDT/USD,0.99493,0.99953,0.99907,0.9993,42771793.02,42741852.764886
2022-06-01,USDT/USD,0.99861,0.99963,0.99914,0.99909,49171741.45,49126995.165280506
2022-05-31,USDT/USD,0.998,0.99948,0.99928,0.99915,58409181.18,58359533.375997
2022-05-30,USDT/USD,0.99878,0.9997,0.99891,0.99928,47384365.72,47350248.9766816
2022-05-29,USDT/USD,0.9987,0.9991,0.99888,0.99892,31468049.67,31434064.1763564
2022-05-28,USDT/USD,0.9986,0.99908,0.99867,0.99888,20840894.83,20817553.0277904
2022-05-27,USDT/USD,0.9986,0.99909,0.99879,0.99867,67019442.65,66930306.79127549
2022-05-26,USDT/USD,0.9986,0.99939,0.99889,0.9988,63807252.16,63730683.457408
2022-05-25,USDT/USD,0.9986,0.99909,0.9989,0.99888,48646827.47,48592343.0232336
2022-05-24,USDT/USD,0.99878,0.99909,0.99894,0.99891,38140756.48,38099183.0554368
2022-05-23,USDT/USD,0.9988,0.99924,0.99899,0.99897,49709977.44,49658776.1632368
2022-05-22,USDT/USD,0.9986,0.999,0.99862,0.99898,34676102.93,34640733.3050114
2022-05-21,USDT/USD,0.9986,0.99976,0.9988,0.99863,31864519.2,31820864.808696
2022-05-20,USDT/USD,0.9986,0.99942,0.9988,0.99881,59973018.44,59901650.5480564
2022-05-19,USDT/USD,0.998,1.0,0.998,0.9988,74081794.13,73992895.977044
2022-05-18,USDT/USD,0.998,1.0,0.999,0.998,32439430.26,32374551.39948
2022-05-17,USDT/USD,0.998,1.0,0.999,0.999,33030608.18,32997577.57182
2022-05-16,USDT/USD,0.998,0.999,0.999,0.999,33383567.67,33350184.102330003
2022-05-15,USDT/USD,0.998,0.999,0.999,0.999,23179678.34,23156498.66166
2022-05-14,USDT/USD,0.997,0.999,0.999,0.999,36734705.49,36697970.78451
2022-05-13,USDT/USD,0.996,1.0,0.997,0.999,85249627.94,85164378.31206
2022-05-12,USDT/USD,0.941,0.999,0.995,0.998,326369789.22,325717049.64156
2022-05-11,USDT/USD,0.992,1.0,0.999,0.996,163751787.04,163096779.89183998
2022-05-10,USDT/USD,0.999,1.0002,1.0,1.0,93549085.02,93549085.02
2022-05-09,USDT/USD,0.999,1.0,1.0,1.0,84151647.54,84151647.54
2022-05-08,USDT/USD,0.999,1.0,0.999,0.999,22632444.19,22609811.74581
2022-05-07,USDT/USD,0.999,1.0002,1.0,1.0,24824502.88,24824502.88
2022-05-06,USDT/USD,0.999,1.0002,1.0,0.999,39361712.8,39322351.08719999
2022-05-05,USDT/USD,0.999,1.0,0.9997,1.0,62468081.59,62468081.59
2022-05-04,USDT/USD,0.9957,0.9999,0.9998,0.9998,53923677.24,53912892.50455201
2022-05-03,USDT/USD,0.9997,1.0,0.9999,0.9998,37964084.76,37956491.943048
2022-05-02,USDT/USD,0.9998,1.0042,1.0,0.9999,50656093.47,50651027.860653
2022-05-01,USDT/USD,0.9999,1.0004,1.0003,0.9999,43026907.39,43022604.699261
2022-04-30,USDT/USD,1.0,1.0004,1.0,1.0002,55605487.93,55616609.027586
2022-04-29,USDT/USD,0.9998,1.0001,1.0001,1.0,64320159.98,64320159.98
2022-04-28,USDT/USD,1.0,1.0002,1.0,1.0001,54355107.51,54360543.020751
2022-04-27,USDT/USD,0.9999,1.0002,1.0,1.0,47511138.24,47511138.24
2022-04-26,USDT/USD,0.9999,1.0002,1.0001,1.0,53611501.63,53611501.63
2022-04-25,USDT/USD,1.0,1.0003,1.0001,1.0001,58947021.38,58952916.082138
2022-04-24,USDT/USD,1.0001,1.0003,1.0001,1.0002,29144966.89,29150795.883378
2022-04-23,USDT/USD,1.0001,1.0005,1.0002,1.0001,34324184.57,34327616.988457
2022-04-22,USDT/USD,1.0,1.0003,1.0002,1.0002,59602701.91,59614622.450382
2022-04-21,USDT/USD,1.0,1.0005,1.0002,1.0002,68065698.57,68079311.709714
2022-04-20,USDT/USD,1.0,1.0004,1.0001,1.0001,65731251.52,65737824.645152
2022-04-19,USDT/USD,1.0,1.0002,1.0001,1.0002,57688677.62,57700215.355524
2022-04-18,USDT/USD,1.0,1.0004,1.0001,1.0001,51712260.15,51717431.376015
2022-04-17,USDT/USD,1.0,1.0002,1.0,1.0002,22675746.13,22680281.279226
2022-04-16,USDT/USD,1.0,1.0002,1.0,1.0,24108179.23,24108179.23
2022-04-15,USDT/USD,1.0,1.0002,1.0,1.0001,39164715.9,39168632.37159
2022-04-14,USDT/USD,1.0,1.0002,1.0001,1.0,54877711.69,54877711.69
2022-04-13,USDT/USD,1.0,1.0002,1.0002,1.0001,54805615.26,54811095.821526
2022-04-12,USDT/USD,1.0,1.0002,1.0002,1.0002,68350265.9,68363935.95318
2022-04-11,USDT/USD,0.9995,1.0003,1.0002,1.0001,67274536.1,67281263.55361
2022-04-10,USDT/USD,1.0001,1.0002,1.0001,1.0002,40016102.9,40024106.12058
2022-04-09,USDT/USD,1.0,1.0002,1.0001,1.0001,29970270.87,29973267.897087
2022-04-08,USDT/USD,1.0,1.0002,1.0,1.0002,52839330.21,52849898.076042
2022-04-07,USDT/USD,0.9999,1.0001,1.0001,1.0001,55068026.78,55073533.582678
2022-04-06,USDT/USD,0.9999,1.0002,1.0001,1.0,72518147.26,72518147.26
2022-04-05,USDT/USD,1.0,1.0003,1.0002,1.0002,63135968.17,63148595.363634
2022-04-04,USDT/USD,1.0,1.0004,1.0004,1.0002,70516558.74,70530662.051748
2022-04-03,USDT/USD,1.0002,1.0005,1.0004,1.0003,44359679.71,44372987.613913
2022-04-02,USDT/USD,1.0002,1.0005,1.0003,1.0003,48756511.86,48771138.813558
2022-04-01,USDT/USD,1.0,1.0007,1.0004,1.0004,74255381.22,74285083.37248799
2022-03-31,USDT/USD,1.0002,1.0011,1.0003,1.0004,73081009.52,73110241.923808
2022-03-30,USDT/USD,1.0,1.01,1.0005,1.0003,77746169.76,77769493.610928
2022-03-29,USDT/USD,1.0003,1.0007,1.0005,1.0005,71683572.25,71719414.03612499
2022-03-28,USDT/USD,1.0002,1.0006,1.0003,1.0004,78203023.05,78234304.25921999
