Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_BTC,Volume_USD
2022-06-21,Coinbase,BTC/USD,20328.03,21711.0,20547.68,20696.96,23770.75139634,491982290.81999314
2022-06-20,Coinbase,BTC/USD,19603.8,21041.62,20552.39,20549.75,24904.11647858,511773367.60569936
2022-06-19,Coinbase,BTC/USD,17934.26,20795.11,18944.66,20552.44,29383.34368967,603899408.1813213
2022-06-18,Coinbase,BTC/USD,17567.45,20750.0,20447.86,18948.89,52894.97568032,1002301075.7190588
2022-06-17,Coinbase,BTC/USD,20209.73,21338.7,20371.96,20447.86,25560.04919013,522648307.43289167
2022-06-16,Coinbase,BTC/USD,20200.0,22974.1,22562.33,20372.0,37587.2170128,765726784.9847616
2022-06-15,Coinbase,BTC/USD,20071.0,22769.12,22120.23,22562.33,62040.45345538,1399777184.209924
2022-06-14,Coinbase,BTC/USD,20816.4,23299.22,22460.97,22120.25,47382.80135514,1048119411.6760356
2022-06-13,Coinbase,BTC/USD,21920.0,26869.35,26555.17,22460.97,81724.84469418,1835619284.9306364
2022-06-12,Coinbase,BTC/USD,26532.95,28516.33,28395.03,26555.2,18661.94193886,495571600.5748151
2022-06-11,Coinbase,BTC/USD,28080.01,29411.11,29058.79,28388.63,13276.76193059,376909082.0456053
2022-06-10,Coinbase,BTC/USD,28821.15,30337.83,30079.59,29063.11,23208.77056569,674519051.9154108
2022-06-09,Coinbase,BTC/USD,29904.0,30679.72,30182.92,30079.62,13334.23491125,401088719.1211337
2022-06-08,Coinbase,BTC/USD,29829.98,31306.32,31111.0,30177.0,16775.53319148,506235265.119292
2022-06-07,Coinbase,BTC/USD,29200.0,31549.21,31349.59,31106.9,23234.0811685,722740239.5004127
2022-06-06,Coinbase,BTC/USD,29866.44,31745.0,29899.62,31343.61,20384.91220986,638936738.19009
2022-06-05,Coinbase,BTC/USD,29505.65,30158.44,29837.56,29901.54,5482.4963235,163935083.11698818
2022-06-04,Coinbase,BTC/USD,29454.14,29952.0,29672.77,29843.18,6390.75942952,190720583.99186265
2022-06-03,Coinbase,BTC/USD,29213.47,30674.95,30429.12,29670.85,15016.78184772,445560681.6864229
2022-06-02,Coinbase,BTC/USD,29558.61,30655.0,29789.19,30433.75,18519.12608247,563606453.4123714
2022-06-01,Coinbase,BTC/USD,29308.01,31964.56,31784.18,29788.79,26857.46263482,800051314.3614997
2022-05-31,Coinbase,BTC/USD,31195.9,32383.96,31716.67,31784.05,21187.77667355,673433353.180947
2022-05-30,Coinbase,BTC/USD,29273.65,32232.16,29447.08,31711.42,24915.37275974,790101850.0406742
2022-05-29,Coinbase,BTC/USD,28809.84,29550.0,29008.99,29447.07,6727.92770357,198117758.04196504
2022-05-28,Coinbase,BTC/USD,28500.0,29239.52,28598.31,29008.99,7717.34367577,223872345.5169752
2022-05-27,Coinbase,BTC/USD,28220.0,29355.4,29166.06,28598.31,21035.53736928,601580818.7032539
2022-05-26,Coinbase,BTC/USD,28000.0,29850.0,29503.48,29166.06,26598.58606063,775775956.9594983
2022-05-25,Coinbase,BTC/USD,29296.12,30192.08,29627.61,29503.49,17180.56600794,506886657.40959775
2022-05-24,Coinbase,BTC/USD,28611.0,29802.0,29079.31,29626.44,17077.03870179,505931862.4762593
2022-05-23,Coinbase,BTC/USD,28847.72,30635.39,30258.04,29082.52,25413.0825529,739076481.6063653
2022-05-22,Coinbase,BTC/USD,29211.0,30457.9,29407.4,30260.87,11774.13662231,356295617.689962
2022-05-21,Coinbase,BTC/USD,28913.26,29613.34,29155.74,29408.26,9998.48360206,294038005.375117
2022-05-20,Coinbase,BTC/USD,28690.92,30729.83,30274.59,29155.75,34328.18791921,1000864064.9255072
2022-05-19,Coinbase,BTC/USD,28645.2,30500.0,28671.5,30274.59,29009.9710577,878264979.6837338
