Datetime,Exchange,Symbol_Pair,Low,High,Open,Close,Volume_in_ADA,Volume_USD
2022-07-05,Coinbase,ADA/USD,0.4442,0.4711,0.4692,0.4567,93718817.41,42801383.911147
2022-07-04,Coinbase,ADA/USD,0.4443,0.4755,0.4556,0.469,79188771.28,37139533.73032
2022-07-03,Coinbase,ADA/USD,0.4431,0.4593,0.4552,0.4555,42651768.97,19427880.765835
2022-07-02,Coinbase,ADA/USD,0.44,0.4609,0.4482,0.4552,47065388.89,21424165.022728
2022-07-01,Coinbase,ADA/USD,0.4422,0.474,0.46,0.4479,104900784.21,46985061.247659
2022-06-30,Coinbase,ADA/USD,0.4343,0.4672,0.4659,0.4598,133737584.93,61492541.550814
2022-06-29,Coinbase,ADA/USD,0.4583,0.4767,0.4688,0.4658,99899013.89,46532960.669962
2022-06-28,Coinbase,ADA/USD,0.4665,0.4971,0.4853,0.469,94183598.54,44172107.71526
2022-06-27,Coinbase,ADA/USD,0.4755,0.5086,0.4897,0.4853,80509659.32,39071337.667996
2022-06-26,Coinbase,ADA/USD,0.4885,0.5255,0.4981,0.4899,100720967.96,49343202.203604
2022-06-25,Coinbase,ADA/USD,0.4782,0.5073,0.498,0.4982,80940603.35,40324608.58897
2022-06-24,Coinbase,ADA/USD,0.4757,0.5093,0.4799,0.4979,107704836.17,53626237.929043
2022-06-23,Coinbase,ADA/USD,0.456,0.483,0.459,0.4798,95619781.45,45878371.13971
2022-06-22,Coinbase,ADA/USD,0.4556,0.4809,0.4808,0.4589,101466584.89,46563015.806021
2022-06-21,Coinbase,ADA/USD,0.4741,0.5105,0.491,0.4808,147705203.67,71016661.92453599
2022-06-20,Coinbase,ADA/USD,0.4607,0.5088,0.484,0.4913,127270548.84,62528020.645092
2022-06-19,Coinbase,ADA/USD,0.4352,0.4895,0.4543,0.484,160363101.98,77615741.35832
2022-06-18,Coinbase,ADA/USD,0.4201,0.4947,0.4868,0.4544,178043518.79,80902974.938176
2022-06-17,Coinbase,ADA/USD,0.4708,0.5032,0.4754,0.4868,130496025.11,63525465.023548
2022-06-16,Coinbase,ADA/USD,0.4666,0.5466,0.5339,0.4756,160047664.58,76118669.274248
2022-06-15,Coinbase,ADA/USD,0.4478,0.5388,0.4826,0.5343,338329443.2,180769421.50176
2022-06-14,Coinbase,ADA/USD,0.4352,0.5194,0.4635,0.4828,318937751.45,153983146.40006
2022-06-13,Coinbase,ADA/USD,0.4357,0.4983,0.4899,0.4636,421461647.84,195389619.938624
2022-06-12,Coinbase,ADA/USD,0.4885,0.5606,0.5538,0.4899,205421507.5,100635996.52425
2022-06-11,Coinbase,ADA/USD,0.5424,0.617,0.5736,0.5535,128648023.29,71206680.89101501
2022-06-10,Coinbase,ADA/USD,0.5702,0.6356,0.6321,0.5737,162892413.65,93451377.711005
2022-06-09,Coinbase,ADA/USD,0.625,0.6573,0.6404,0.6321,123278887.46,77924584.763466
2022-06-08,Coinbase,ADA/USD,0.6082,0.6691,0.6134,0.6405,205687679.33,131742958.610865
2022-06-07,Coinbase,ADA/USD,0.5706,0.645,0.6087,0.6136,186055410.28,114163599.747808
2022-06-06,Coinbase,ADA/USD,0.5646,0.6454,0.567,0.6087,210533266.07,128151599.056809
2022-06-05,Coinbase,ADA/USD,0.5532,0.5803,0.5663,0.5669,60763844.33,34447023.350677
2022-06-04,Coinbase,ADA/USD,0.5441,0.5714,0.5593,0.5662,72041202.17,40789728.668654
2022-06-03,Coinbase,ADA/USD,0.5378,0.6049,0.5871,0.5594,139224383.51,77882120.135494
2022-06-02,Coinbase,ADA/USD,0.5483,0.598,0.5514,0.587,172333844.23,101159966.56301
2022-06-01,Coinbase,ADA/USD,0.5358,0.631,0.6264,0.5515,177173384.31,97711121.446965
2022-05-31,Coinbase,ADA/USD,0.5677,0.689,0.5697,0.6263,285278832.16,178670132.581808
2022-05-30,Coinbase,ADA/USD,0.4765,0.5779,0.4818,0.5697,124235454.04,70776938.16658801
2022-05-29,Coinbase,ADA/USD,0.4558,0.4824,0.4643,0.4817,49099450.17,23651205.146889
2022-05-28,Coinbase,ADA/USD,0.4455,0.4688,0.4561,0.4643,52909618.33,24565935.790619
2022-05-27,Coinbase,ADA/USD,0.445,0.4834,0.4785,0.4562,133272478.44,60798904.664328
2022-05-26,Coinbase,ADA/USD,0.461,0.5204,0.5138,0.4785,93330369.67,44658581.887095
2022-05-25,Coinbase,ADA/USD,0.5064,0.532,0.5213,0.5139,54033189.37,27767656.017243
2022-05-24,Coinbase,ADA/USD,0.4921,0.5246,0.513,0.5214,75384777.88,39305623.18663199
2022-05-23,Coinbase,ADA/USD,0.5036,0.5589,0.5411,0.5129,66212225.25,33960250.330725
2022-05-22,Coinbase,ADA/USD,0.521,0.5478,0.5279,0.5413,35281038.38,19097626.075094003
2022-05-21,Coinbase,ADA/USD,0.5081,0.538,0.5157,0.5279,35245556.22,18606129.128538
2022-05-20,Coinbase,ADA/USD,0.5008,0.5442,0.5329,0.5155,83778682.93,43187911.050415
2022-05-19,Coinbase,ADA/USD,0.4909,0.5464,0.5051,0.5326,73137010.36,38952771.717736
2022-05-18,Coinbase,ADA/USD,0.502,0.5859,0.577,0.5053,87090432.73,44006795.658469
2022-05-17,Coinbase,ADA/USD,0.55,0.5996,0.5561,0.577,72308439.49,41721969.58573
2022-05-16,Coinbase,ADA/USD,0.5436,0.6135,0.5977,0.5561,95586214.4,53155493.82784001
2022-05-15,Coinbase,ADA/USD,0.5137,0.5999,0.537,0.598,84918919.9,50781514.100200005
2022-05-14,Coinbase,ADA/USD,0.4879,0.5565,0.5281,0.5371,90751875.74,48742832.459954
