Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_ADA
2022-05-29,ADA/USD,0.46466,0.4828,0.45581,0.48209,1561224.6196313922,3238450.53751663
2022-05-28,ADA/USD,0.45656,0.46952,0.448,0.46442,844931.9440486024,1819327.21254167
2022-05-27,ADA/USD,0.47866,0.48365,0.44496,0.45529,659183.3701858277,1447831.86581262
2022-05-26,ADA/USD,0.51454,0.52084,0.4626,0.479,1037676.946780952,2166340.18117109
2022-05-25,ADA/USD,0.52168,0.53198,0.50671,0.51397,397437.8299091102,773270.48253616
2022-05-24,ADA/USD,0.51302,0.52467,0.49373,0.52121,552444.0487427281,1059926.03507747
2022-05-23,ADA/USD,0.54092,0.55945,0.50395,0.51214,1935776.280396816,3779779.51418912
2022-05-22,ADA/USD,0.52834,0.54919,0.52142,0.54141,1180087.5727869528,2179656.0329269
2022-05-21,ADA/USD,0.51616,0.538,0.50831,0.52834,1091830.9137084954,2066530.85836487
2022-05-20,ADA/USD,0.53348,0.54506,0.50143,0.51599,1924557.7513800645,3729835.36770105
2022-05-19,ADA/USD,0.50618,0.54705,0.49222,0.53354,2643805.027922067,4955214.28181967
2022-05-18,ADA/USD,0.57768,0.58651,0.50228,0.50535,1377450.3070373388,2725735.2469325
2022-05-17,ADA/USD,0.55693,0.60042,0.55072,0.57733,2297841.5647393577,3980118.06893693
2022-05-16,ADA/USD,0.59784,0.61478,0.54425,0.55582,3275314.7900176216,5892761.667478
2022-05-15,ADA/USD,0.53764,0.5995,0.51489,0.59808,5827026.204747879,9742887.58150729
2022-05-14,ADA/USD,0.52896,0.55626,0.4886,0.53722,3501761.29811297,6518300.32037707
2022-05-13,ADA/USD,0.4738,0.60891,0.4695,0.52868,11494796.24299322,21742445.79517519
2022-05-12,ADA/USD,0.519,0.54988,0.4028,0.47421,3821596.935058431,8058870.40563976
2022-05-11,ADA/USD,0.62886,0.66365,0.47363,0.51813,9969766.689702686,19241824.81173197
2022-05-10,ADA/USD,0.60353,0.70071,0.58492,0.62775,3991967.0838741097,6359166.99940121
2022-05-09,ADA/USD,0.74116,0.755,0.59905,0.60269,8100384.277319156,13440382.74621971
2022-05-08,ADA/USD,0.76033,0.76704,0.72561,0.74096,1810144.4402613589,2442971.87467793
2022-05-07,ADA/USD,0.78372,0.78619,0.74686,0.76006,1172823.273481694,1543066.69668407
2022-05-06,ADA/USD,0.78879,0.79997,0.763,0.78398,2615980.2768257814,3336794.65908031
2022-05-05,ADA/USD,0.89916,0.90579,0.77143,0.78879,8296324.98218954,10517786.7140678
2022-05-04,ADA/USD,0.77054,0.899,0.76771,0.89857,4580864.461022909,5097949.47641576
2022-05-03,ADA/USD,0.7812,0.79977,0.7605,0.77067,1095269.8981087338,1421191.81765053
2022-05-02,ADA/USD,0.79002,0.79741,0.76403,0.7811,1879742.1863843412,2406532.05272608
2022-05-01,ADA/USD,0.75608,0.80063,0.74537,0.78929,3484616.1946362513,4414874.37397693
2022-04-30,ADA/USD,0.80513,0.81816,0.73571,0.7564,3220321.4581103325,4257431.85895073
2022-04-29,ADA/USD,0.844,0.84897,0.78958,0.80459,2680933.0697844313,3332048.70776971
2022-04-28,ADA/USD,0.84032,0.85238,0.82603,0.84349,1242628.9928189975,1473199.43664892
2022-04-27,ADA/USD,0.82608,0.85626,0.8185,0.83988,1741280.1613474924,2073248.75142579
2022-04-26,ADA/USD,0.89852,0.9042,0.81601,0.82628,1918194.1477113364,2321482.0009093
2022-04-25,ADA/USD,0.88616,0.90408,0.82764,0.89836,4061549.776227928,4521071.48161976
2022-04-24,ADA/USD,0.88702,0.89908,0.87746,0.88594,567110.2242040911,640122.60898491
2022-04-23,ADA/USD,0.90674,0.9122,0.88201,0.88682,438455.8361555652,494413.56324346
2022-04-22,ADA/USD,0.90954,0.9246,0.89195,0.9062,857032.3721382327,945743.07232204
2022-04-21,ADA/USD,0.93661,0.97061,0.89165,0.91024,1467364.7484857629,1612063.57497557
2022-04-20,ADA/USD,0.95292,0.97541,0.93063,0.9365,840122.7542104635,897087.83151144
2022-04-19,ADA/USD,0.93773,0.95779,0.92741,0.9529,845909.5946031738,887721.26624323
2022-04-18,ADA/USD,0.91334,0.939,0.87373,0.93683,2351385.9191840757,2509938.75002303
2022-04-17,ADA/USD,0.9516,0.96352,0.9126,0.91486,733738.4377488014,802022.64581335
