Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_ETH,Volume_in_BTC,Volume_in_XRP,Volume_in_ADA,Volume_in_DOGE,Volume_in_LTC,Volume_in_SOL
2022-11-19,Bitfinex,SOL/USD,13.266,13.266,12.586,12.824,883871.5032927898,,,,,,,68923.23013824
2022-11-18,Bitfinex,SOL/USD,13.649,13.871,12.991,13.262,779437.3302523806,,,,,,,58772.23120588
2022-11-17,Bitfinex,SOL/USD,14.259,14.492,12.87,13.626,3558807.727261927,,,,,,,261177.72840613
2022-11-16,Bitfinex,SOL/USD,14.293,14.605,13.626,14.258,2022323.0851889683,,,,,,,141837.78125887
2022-11-15,Bitfinex,SOL/USD,13.999,15.1,13.872,14.303,2594080.6757766195,,,,,,,181366.19420937
2022-11-14,Bitfinex,SOL/USD,13.219,15.085,12.117,14.03,3381389.7517132144,,,,,,,241011.38643715
2022-11-13,Bitfinex,SOL/USD,14.565,14.758,13.146,13.185,1998673.8812632512,,,,,,,151586.94586752
2022-11-12,Bitfinex,SOL/USD,16.504,16.579,14.471,14.571,1477814.579587711,,,,,,,101421.6306079
2022-11-11,Bitfinex,SOL/USD,17.567,18.292,15.037,16.499,2374337.3488979093,,,,,,,143907.95496078
2022-11-10,Bitfinex,SOL/USD,13.979,18.788,12.406,17.63,6493708.331529643,,,,,,,368332.86055188
2022-11-09,Bitfinex,SOL/USD,24.248,24.249,11.57,13.983,7799496.251550281,,,,,,,557784.1844776
2022-11-08,Bitfinex,SOL/USD,29.656,31.752,19.405,24.159,12214223.748988751,,,,,,,505576.54493103
2022-11-07,Bitfinex,SOL/USD,32.654,33.162,28.1,29.647,4978546.243900197,,,,,,,167927.48824165
2022-11-06,Bitfinex,SOL/USD,36.911,37.109,32.322,32.676,4616537.56469145,,,,,,,141282.21216463
2022-11-05,Bitfinex,SOL/USD,33.781,38.822,33.693,36.803,6187537.639481349,,,,,,,168125.90385244
2022-11-04,Bitfinex,SOL/USD,30.889,34.241,30.708,33.797,1697668.544556406,,,,,,,50231.33841928
2022-11-03,Bitfinex,SOL/USD,30.83,32.248,30.632,30.894,1379948.8291649155,,,,,,,44667.21140561
2022-11-02,Bitfinex,SOL/USD,32.249,32.953,30.258,30.809,2513174.7331779944,,,,,,,81572.74605401
2022-11-01,Bitfinex,SOL/USD,32.582,33.409,32.15,32.25,572568.6168806475,,,,,,,17754.06563971
2022-10-31,Bitfinex,SOL/USD,33.025,34.419,32.218,32.582,1435596.0055522036,,,,,,,44061.01545492
2022-10-30,Bitfinex,SOL/USD,32.907,33.578,31.956,32.977,1298009.5755199653,,,,,,,39361.05696455
2022-10-29,Bitfinex,SOL/USD,32.106,33.905,31.898,32.903,1689378.360948111,,,,,,,51344.20450865
2022-10-28,Bitfinex,SOL/USD,30.575,32.641,30.136,32.081,1286548.839260263,,,,,,,40103.14015337
2022-10-27,Bitfinex,SOL/USD,31.317,32.398,30.5,30.594,2777127.538393485,,,,,,,90773.60065351
2022-10-26,Bitfinex,SOL/USD,30.899,32.164,30.673,31.314,1827760.563300954,,,,,,,58368.79872584
2022-10-25,Bitfinex,SOL/USD,28.346,32.346,28.068,30.897,2256409.5061207907,,,,,,,73030.05165941
2022-10-24,Bitfinex,SOL/USD,29.363,29.524,28.185,28.32,1293173.49792,,,,,,,45662.906
2022-10-23,Bitfinex,SOL/USD,28.051,29.473,27.741,29.3,925413.393873832,,,,,,,31584.07487624
2022-10-22,Bitfinex,SOL/USD,28.12,28.254,27.494,28.03,679517.3247013945,,,,,,,24242.50177315
2022-10-21,Bitfinex,SOL/USD,28.039,28.3,26.857,28.11,1104678.3798891848,,,,,,,39298.41266059
2022-10-20,Bitfinex,SOL/USD,28.873,29.478,28.001,28.016,1212416.8615013778,,,,,,,43275.87312612
2022-10-19,Bitfinex,SOL/USD,30.171,30.26,28.629,28.87,862042.1584410853,,,,,,,29859.44435196
2022-10-18,Bitfinex,SOL/USD,31.219,31.49,29.729,30.133,648255.5032491339,,,,,,,21513.14184612
2022-10-17,Bitfinex,SOL/USD,30.163,31.309,29.868,31.22,465836.559377049,,,,,,,14921.09415045
2022-10-16,Bitfinex,SOL/USD,29.609,30.551,29.609,30.191,530023.0037375866,,,,,,,17555.66240726
2022-10-15,Bitfinex,SOL/USD,30.013,30.209,29.408,29.58,362156.1846417216,,,,,,,12243.27872352
2022-10-14,Bitfinex,SOL/USD,30.499,32.0,29.615,30.013,777649.0797819396,,,,,,,25910.4081492
2022-10-13,Bitfinex,SOL/USD,31.145,31.19,27.881,30.49,2365585.711405249,,,,,,,77585.62516908
2022-10-12,Bitfinex,SOL/USD,30.799,31.418,30.7,31.18,349263.7447229688,,,,,,,11201.53126116
2022-10-11,Bitfinex,SOL/USD,31.954,31.954,30.41,30.804,638767.8713199171,,,,,,,20736.52354629
2022-10-10,Bitfinex,SOL/USD,32.936,33.46,31.86,31.946,391923.80474579736,,,,,,,12268.32169116
2022-10-09,Bitfinex,SOL/USD,32.571,33.136,32.456,32.919,174980.12234270794,,,,,,,5315.47502484
2022-10-08,Bitfinex,SOL/USD,32.998,33.07,32.371,32.589,141754.4519489546,,,,,,,4349.76378376
2022-10-07,Bitfinex,SOL/USD,33.346,33.768,32.423,32.998,1728029.6160563093,,,,,,,52367.70762035
2022-10-06,Bitfinex,SOL/USD,34.026,34.481,33.242,33.36,550592.5709728776,,,,,,,16504.57347041
2022-10-05,Bitfinex,SOL/USD,34.117,34.362,33.19,34.029,681524.9075893883,,,,,,,20027.76771546
2022-10-04,Bitfinex,SOL/USD,32.893,34.385,32.855,34.13,920856.1315865684,,,,,,,26980.84182791
