Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_XRP
2022-06-25,XRP/USD,0.36705,0.37406,0.35398,0.3673,1483074.696843527,4037774.8348585
2022-06-24,XRP/USD,0.33537,0.38649,0.33453,0.36674,6231149.816781978,16990646.82549484
2022-06-23,XRP/USD,0.32248,0.33638,0.32074,0.3351,1002088.0317660507,2990414.89634751
2022-06-22,XRP/USD,0.32875,0.32921,0.31853,0.32139,1064698.2221339191,3312792.00390155
2022-06-21,XRP/USD,0.32235,0.3372,0.31821,0.3287,1423222.4929115977,4329852.42747672
2022-06-20,XRP/USD,0.32581,0.32879,0.31346,0.32255,4291605.454046569,13305240.90543038
2022-06-19,XRP/USD,0.3075,0.33299,0.29808,0.32586,2197958.5652093706,6745100.85683843
2022-06-18,XRP/USD,0.32047,0.3256,0.287,0.30742,4756255.93184499,15471524.07730463
2022-06-17,XRP/USD,0.31318,0.33991,0.31055,0.32044,5776164.455059649,18025728.5453116
2022-06-16,XRP/USD,0.34385,0.34766,0.30725,0.31307,3332474.2917043273,10644502.16151125
2022-06-15,XRP/USD,0.32133,0.347,0.29821,0.3437,7573624.60311069,22035567.65525368
2022-06-14,XRP/USD,0.31141,0.32671,0.29338,0.3215,5422308.068546228,16865654.95659791
2022-06-13,XRP/USD,0.34379,0.35097,0.30031,0.3119,12824742.972480796,41118124.31061493
2022-06-12,XRP/USD,0.36013,0.36567,0.34,0.34376,5969715.690208162,17365940.45324692
2022-06-11,XRP/USD,0.38156,0.38865,0.35574,0.35997,4293613.402944247,11927697.87189001
2022-06-10,XRP/USD,0.40019,0.41197,0.376,0.38127,5979883.849773532,15684118.47187959
2022-06-09,XRP/USD,0.40092,0.40432,0.39658,0.40023,766835.9311672824,1915988.13474073
2022-06-08,XRP/USD,0.40787,0.41048,0.3948,0.40063,2176139.74961683,5431794.29802269
2022-06-07,XRP/USD,0.40276,0.41775,0.38434,0.40767,5535036.618257004,13577247.81871858
2022-06-06,XRP/USD,0.39534,0.40932,0.39408,0.4028,3824429.571669662,9494611.64764067
2022-06-05,XRP/USD,0.39239,0.39952,0.38944,0.39552,2869820.198441169,7255815.63117205
2022-06-04,XRP/USD,0.39047,0.39482,0.38443,0.39239,1561438.3992047668,3979302.2228007
2022-06-03,XRP/USD,0.40558,0.41094,0.38425,0.39045,2958655.5320267156,7577552.90569014
