Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_LTC
2021-11-15,LTC/USD,279.18,281.32,258.89,262.91,41054842.10097569,156155.49846326
2021-11-14,LTC/USD,257.77,279.28,248.42,279.16,65839913.38944283,235850.09811378
2021-11-13,LTC/USD,251.14,263.97,245.38,257.94,33667900.96962713,130526.09509819
2021-11-12,LTC/USD,262.24,282.75,243.97,251.15,85245442.31627482,339420.43526289
2021-11-11,LTC/USD,260.15,273.9,250.65,262.39,59016821.627918445,224920.23944479
2021-11-10,LTC/USD,262.28,295.4,251.7,260.13,254887533.08587447,979846.74234373
2021-11-09,LTC/USD,228.94,275.66,226.44,262.27,174665094.1238293,665974.35514481
2021-11-08,LTC/USD,202.14,229.81,202.09,228.84,61987736.651571296,270878.06612293
2021-11-07,LTC/USD,197.64,202.18,197.07,202.14,4576880.013888211,22642.12928608
2021-11-06,LTC/USD,198.98,201.29,191.25,197.58,4187398.9051276436,21193.43509023
2021-11-05,LTC/USD,202.59,203.39,196.8,198.98,5508973.548312727,27686.06668164
2021-11-04,LTC/USD,207.23,207.23,196.29,203.03,6874573.770347607,33859.89149558
2021-11-03,LTC/USD,201.02,209.49,197.41,206.97,11627273.045875242,56178.54300563
2021-11-02,LTC/USD,197.58,205.04,194.93,201.01,8488906.778028827,42231.26599686
2021-11-01,LTC/USD,191.95,201.25,187.93,197.82,8989346.898266653,45442.05286759
2021-10-31,LTC/USD,190.27,195.17,186.66,191.89,5283319.574077352,27533.06359934
2021-10-30,LTC/USD,196.62,197.24,186.76,190.41,4651158.613263508,24427.07112685
2021-10-29,LTC/USD,189.87,198.58,188.22,196.62,8430048.816235421,42874.82868597
2021-10-28,LTC/USD,179.11,194.43,177.49,189.85,12333450.723701732,64964.18606111
2021-10-27,LTC/USD,197.52,204.87,171.25,179.13,20914702.458398372,116757.11750348
2021-10-26,LTC/USD,195.51,199.21,190.41,197.43,6989252.237742691,35401.16617405
2021-10-25,LTC/USD,190.39,197.3,189.53,195.37,4862106.22801485,24886.65725554
2021-10-24,LTC/USD,196.28,199.79,185.28,190.45,7456918.849833531,39154.20766518
