Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_BTC
2022-02-25,BTC/USD,38380.0,39744.30276268,38058.0,39253.0,252406059.04052007,6430.23613585
2022-02-24,BTC/USD,37305.0,39926.0,34425.0,38383.0,686109113.7987558,17875.33839978
2022-02-23,BTC/USD,38294.0,39310.0,37117.0,37305.0,216653436.63077536,5807.62462487
2022-02-22,BTC/USD,37078.0,38485.0,36402.0,38299.0,237639528.2965906,6204.8494294
2022-02-21,BTC/USD,38437.0,39555.0,36829.0,37060.861799,315267462.6417056,8506.7493668
2022-02-20,BTC/USD,40130.0,40164.0547683,38038.0,38439.0,135567634.3317558,3526.8252122
2022-02-19,BTC/USD,40027.0,40482.0,39673.0,40128.0,58758260.096574716,1464.27083574
2022-02-18,BTC/USD,40555.0,40984.0,39521.0,40027.47722701,187211656.3018533,4677.0785788
2022-02-17,BTC/USD,43896.94591367,44189.0,40117.0,40555.0,273825481.71504694,6751.95368549
2022-02-16,BTC/USD,44567.0,44584.0,43352.0,43909.0,143648727.02936423,3271.50987336
2022-02-15,BTC/USD,42567.0,44762.0,42463.0,44563.0,183308212.8457144,4113.4621288
2022-02-14,BTC/USD,42090.0,42863.0,41545.0,42554.0,203647560.63737077,4785.62674807
2022-02-13,BTC/USD,42241.0,42789.0,41915.0,42090.0,82113012.1973184,1950.89123776
2022-02-12,BTC/USD,42422.0,43036.0,41715.0,42244.0,112483230.26417288,2662.70311202
2022-02-11,BTC/USD,43549.0,43965.0,42010.0,42418.0,237971105.85188594,5610.14441633
2022-02-10,BTC/USD,44437.0,45899.0,43222.0,43545.0,319115175.8950347,7328.39995166
2022-02-09,BTC/USD,44079.55202568,44865.0,43160.0,44431.0,165012503.3952563,3713.90478259
2022-02-08,BTC/USD,43865.0,45400.0,42709.0,44077.0,335877250.2483632,7620.23845199
2022-02-07,BTC/USD,42421.82387236,44540.0,41699.5447648,43865.0,241961414.77633747,5516.04729913
2022-02-06,BTC/USD,41441.0,42739.0,41169.0,42412.0,100237041.58712688,2363.41227924
2022-02-05,BTC/USD,41588.0,41956.0,40979.80786121,41438.0,107675460.2123751,2598.47145645
2022-02-04,BTC/USD,37367.0,41753.0,37070.0,41588.0,344152359.1433991,8275.28034874
2022-02-03,BTC/USD,36923.0,37410.0,36267.47644877,37366.0,188366209.86967686,5041.11250521
2022-02-02,BTC/USD,38717.60475262,38879.0,36633.0,36913.0,154705905.46178365,4191.09542605
2022-02-01,BTC/USD,38501.0,39416.42020804,38000.0,38713.0,166093102.29550248,4290.37021919
2022-01-31,BTC/USD,37914.0,38785.0,36674.0,38500.0,183486501.00318998,4765.88314294
