Datetime,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_SOL
2022-03-23,SOL/USD,90.365,96.26,89.22,94.9,3033952.0095391395,31969.98956311
2022-03-22,SOL/USD,88.652,93.916,88.023,90.447,4584918.466730957,50691.76939789
2022-03-21,SOL/USD,88.658,91.248,86.767,88.67,1658186.2962929152,18700.6461745
2022-03-20,SOL/USD,92.413,92.491,87.903,88.659,1639628.6808284773,18493.65186646
2022-03-19,SOL/USD,89.791,94.558,89.302,92.366,1957806.7863461059,21196.18459548
2022-03-18,SOL/USD,87.847,92.257,84.5,89.864,3291429.2568849474,36626.78332686
2022-03-17,SOL/USD,87.869,91.021,86.641,87.914,3018623.9319616742,34336.10041588
2022-03-16,SOL/USD,82.9,88.007,81.615,87.881,4051117.825346024,46097.76658602
2022-03-15,SOL/USD,81.318,85.97,78.772,82.908,2560404.056053163,30882.47281388
2022-03-14,SOL/USD,78.66,82.269,77.974,81.358,1710046.6848861717,21018.78960749
2022-03-13,SOL/USD,81.29,83.309,77.704,78.869,1639070.9567163873,20782.19524422
2022-03-12,SOL/USD,80.73,82.7,80.615,81.464,957922.1064526878,11758.83956659
2022-03-11,SOL/USD,82.92,84.281,80.054,80.704,3579056.7734953905,44347.94772868
2022-03-10,SOL/USD,88.071,88.62,80.809,82.861,4392316.575732691,53008.24966791
2022-03-09,SOL/USD,82.228,89.896,82.006,88.17,4887009.884985227,55427.12810463
2022-03-08,SOL/USD,81.845,85.04,81.331,82.371,4177135.210116299,50711.23587326
2022-03-07,SOL/USD,84.656,86.716,80.0,81.686,5694396.259609507,69710.79817361
2022-03-06,SOL/USD,89.55,89.994,84.116,84.521,2093558.47281406,24769.68413547
2022-03-05,SOL/USD,88.36,91.23,85.996,89.613,2325346.2726012054,25948.76047673
2022-03-04,SOL/USD,95.65,95.978,87.016,88.139,7104702.514893756,80607.93195854
2022-03-03,SOL/USD,100.77,101.8,94.186,95.48,4749679.777283025,49745.28463849
2022-03-02,SOL/USD,98.691,106.42,96.822,100.68,10797802.058585435,107248.72922711
2022-03-01,SOL/USD,99.775,102.1,94.3,98.603,7107664.379861125,72083.65242296
2022-02-28,SOL/USD,85.603,102.78,84.241,99.707,10208042.432841126,102380.39889718
