Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_LTC,Volume_USD
2022-07-07 04:00:00,Gemini,LTC/USD,49.94,53.95,49.74,53.53,19334.66298,1034984.5093194001
2022-07-06 04:00:00,Gemini,LTC/USD,49.72,50.66,49.49,49.94,4211.10962,210302.8144228
2022-07-05 04:00:00,Gemini,LTC/USD,51.69,52.35,47.92,49.72,15752.26979,783202.8539588
2022-07-04 04:00:00,Gemini,LTC/USD,49.95,52.35,49.82,51.69,9714.41422,502138.0710318
2022-07-03 04:00:00,Gemini,LTC/USD,50.41,52.02,49.1,49.95,11727.50401,585788.8252995
2022-07-02 04:00:00,Gemini,LTC/USD,50.6,51.31,49.75,50.41,9037.373,455573.97292999993
2022-07-01 04:00:00,Gemini,LTC/USD,53.49,53.49,50.08,50.6,15137.99416,765982.504496
2022-06-30 04:00:00,Gemini,LTC/USD,53.13,56.3,50.09,53.49,21990.61366,1176277.9246734
2022-06-29 04:00:00,Gemini,LTC/USD,52.7,54.31,52.04,53.13,6165.27602,327561.1149426
2022-06-28 04:00:00,Gemini,LTC/USD,54.69,56.97,52.15,52.7,15807.15741,833037.1955070001
2022-06-27 04:00:00,Gemini,LTC/USD,57.8,58.59,53.87,54.69,19672.36453,1075881.6161457
2022-06-26 04:00:00,Gemini,LTC/USD,60.05,60.41,56.43,57.8,12242.93323,707641.540694
2022-06-25 04:00:00,Gemini,LTC/USD,56.49,60.12,54.66,60.05,14988.21259,900042.1660295
2022-06-24 04:00:00,Gemini,LTC/USD,55.85,56.99,54.4,56.49,14219.09145,803236.4760105
2022-06-23 04:00:00,Gemini,LTC/USD,54.18,57.25,53.47,55.85,22260.32245,1243239.0088325
2022-06-22 04:00:00,Gemini,LTC/USD,51.25,55.23,51.05,54.18,11020.20924,597074.9366232
2022-06-21 04:00:00,Gemini,LTC/USD,52.93,52.93,51.17,51.25,1123.79605,57594.547562499996
2022-06-20 04:00:00,Gemini,LTC/USD,52.9,53.89,51.23,52.93,19606.67064,1037781.0769752
2022-06-19 04:00:00,Gemini,LTC/USD,45.28,56.18,44.93,52.9,88924.99007,4704131.974703
2022-06-18 04:00:00,Gemini,LTC/USD,47.39,48.22,41.47,45.28,42314.52715,1916001.7893520002
2022-06-17 04:00:00,Gemini,LTC/USD,45.61,48.27,45.54,47.39,20873.73747,989206.4187033001
2022-06-16 04:00:00,Gemini,LTC/USD,49.66,49.88,43.99,45.61,32626.22302,1488082.0319422001
2022-06-15 04:00:00,Gemini,LTC/USD,44.6,51.11,43.29,49.66,15424.70593,765990.8964837999
2022-06-14 04:00:00,Gemini,LTC/USD,44.32,46.61,42.96,44.6,45061.84238,2009758.1701480001
2022-06-13 04:00:00,Gemini,LTC/USD,45.51,46.56,40.27,44.32,53357.13381,2364788.1704592
2022-06-12 04:00:00,Gemini,LTC/USD,49.74,52.53,44.06,45.51,23818.27347,1083969.6256197
2022-06-11 04:00:00,Gemini,LTC/USD,57.48,57.67,49.0,49.74,33735.29389,1677993.5180886001
2022-06-10 04:00:00,Gemini,LTC/USD,59.87,60.26,55.55,57.48,18729.38568,1076565.0888864
