Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_in_ETH,Volume_USD
2022-05-05 04:00:00,Gemini,ETH/USD,2941.77,2949.99,2688.88,2745.27,20651.316013,56693438.311008506
2022-05-04 04:00:00,Gemini,ETH/USD,2798.26,2966.94,2788.82,2941.77,10482.252516,30836375.98399332
2022-05-03 04:00:00,Gemini,ETH/USD,2849.07,2853.4,2706.74,2798.26,14046.274377,39305127.73818402
2022-05-02 04:00:00,Gemini,ETH/USD,2840.22,2882.0,2778.5,2849.07,12803.703216,36478646.72160912
2022-05-01 04:00:00,Gemini,ETH/USD,2778.78,2849.8,2753.0,2840.22,12055.040158,34238966.15755476
2022-04-30 04:00:00,Gemini,ETH/USD,2819.92,2841.65,2715.0,2778.78,6520.090644,18117897.47973432
2022-04-29 04:00:00,Gemini,ETH/USD,2924.27,2935.0,2775.24,2819.92,12274.720895,34613730.9462284
2022-04-28 04:00:00,Gemini,ETH/USD,2884.31,2979.0,2850.18,2924.27,14082.787753,41181873.74246531
2022-04-27 04:00:00,Gemini,ETH/USD,2836.83,2916.31,2821.22,2884.31,4301.518994,12406914.24958414
2022-04-26 04:00:00,Gemini,ETH/USD,3001.21,3020.0,2768.24,2836.83,9394.276104,26649964.280110322
2022-04-25 04:00:00,Gemini,ETH/USD,2877.05,3036.4,2796.99,3001.21,15692.955806,47097855.89452526
2022-04-24 04:00:00,Gemini,ETH/USD,2957.04,2967.34,2841.65,2877.05,5476.736568,15756844.942964401
2022-04-23 04:00:00,Gemini,ETH/USD,2949.61,2979.4,2920.0,2957.04,8814.180203,26063883.427479118
2022-04-22 04:00:00,Gemini,ETH/USD,2995.32,3032.74,2934.58,2949.61,7008.595113,20672622.231255934
2022-04-21 04:00:00,Gemini,ETH/USD,3097.79,3178.7,2856.0,2995.32,9705.211494,29070214.09220808
2022-04-20 04:00:00,Gemini,ETH/USD,3093.42,3106.4,3085.4,3097.79,725.387482,2247098.08786478
2022-04-19 04:00:00,Gemini,ETH/USD,3038.84,3131.41,3029.33,3093.42,8159.654323,25241237.87585466
2022-04-18 04:00:00,Gemini,ETH/USD,2995.96,3095.0,2884.63,3038.84,13402.234153,40727245.23350252
2022-04-17 04:00:00,Gemini,ETH/USD,3031.8,3082.19,2972.56,2995.96,4513.690871,13522837.301881159
2022-04-16 04:00:00,Gemini,ETH/USD,3038.6,3085.44,3012.19,3031.8,3427.655176,10391964.962596802
2022-04-15 04:00:00,Gemini,ETH/USD,3041.67,3059.46,2995.43,3038.6,5342.055199,16232368.927681401
2022-04-14 04:00:00,Gemini,ETH/USD,3119.16,3124.83,2976.71,3041.67,7070.945334,21507482.29406778
2022-04-13 04:00:00,Gemini,ETH/USD,3049.86,3144.93,3049.86,3119.16,3570.745156,11137725.46078896
2022-04-12 04:00:00,Gemini,ETH/USD,2983.0,3085.93,2967.24,3049.86,10468.783913,31928325.30490218
2022-04-11 04:00:00,Gemini,ETH/USD,3173.71,3189.17,2948.33,2983.0,18830.138526,56170303.22305799
2022-04-10 04:00:00,Gemini,ETH/USD,3257.61,3308.07,3153.95,3173.71,3591.96024,11399840.133290399
2022-04-09 04:00:00,Gemini,ETH/USD,3211.57,3269.05,3195.56,3257.61,2560.732002,8341866.177035221
2022-04-08 04:00:00,Gemini,ETH/USD,3268.64,3313.33,3175.0,3211.57,7703.566401,24740542.74645957
2022-04-07 04:00:00,Gemini,ETH/USD,3189.03,3276.01,3160.0,3268.64,10417.701824,34051716.88999936
2022-04-06 04:00:00,Gemini,ETH/USD,3341.06,3341.06,3142.43,3189.03,8638.679459,27549007.955134775
